x,lagrange,spline
3.0500,16.9641,17.0123
3.0600,16.9562,17.0147
3.0700,16.9481,17.0171
3.0800,16.9396,17.0195
3.0900,16.9310,17.0219
3.1000,16.9221,17.0243
3.1100,16.9130,17.0266
3.1200,16.9037,17.0289
3.1300,16.8941,17.0312
3.1400,16.8843,17.0335
3.1500,16.8742,17.0358
3.1600,16.8639,17.0381
3.1700,16.8534,17.0404
3.1800,16.8427,17.0426
3.1900,16.8317,17.0448
3.2000,16.8206,17.0470
3.2100,16.8092,17.0492
3.2200,16.7976,17.0514
3.2300,16.7857,17.0536
3.2400,16.7737,17.0557
3.2500,16.7614,17.0579
3.2600,16.7490,17.0600
3.2700,16.7363,17.0621
3.2800,16.7234,17.0642
3.2900,16.7103,17.0663
3.3000,16.6970,17.0684
3.3100,16.6835,17.0704
3.3200,16.6698,17.0725
3.3300,16.6559,17.0745
3.3400,16.6418,17.0765
3.3500,16.6275,17.0785
3.3600,16.6130,17.0805
3.3700,16.5983,17.0825
3.3800,16.5835,17.0844
3.3900,16.5684,17.0864
3.4000,16.5531,17.0883
3.4100,16.5377,17.0902
3.4200,16.5221,17.0921
3.4300,16.5063,17.0940
3.4400,16.4903,17.0959
3.4500,16.4741,17.0978
3.4600,16.4578,17.0996
3.4700,16.4412,17.1015
3.4800,16.4245,17.1033
3.4900,16.4077,17.1051
3.5000,16.3906,17.1069
3.5100,16.3734,17.1087
3.5200,16.3560,17.1104
3.5300,16.3385,17.1122
3.5400,16.3208,17.1139
3.5500,16.3029,17.1156
3.5600,16.2849,17.1174
3.5700,16.2667,17.1191
3.5800,16.2483,17.1207
3.5900,16.2298,17.1224
3.6000,16.2111,17.1241
3.6100,16.1923,17.1257
3.6200,16.1734,17.1274
3.6300,16.1542,17.1290
3.6400,16.1350,17.1306
3.6500,16.1156,17.1322
3.6600,16.0960,17.1338
3.6700,16.0763,17.1353
3.6800,16.0565,17.1369
3.6900,16.0365,17.1384
3.7000,16.0164,17.1400
3.7100,15.9961,17.1415
3.7200,15.9757,17.1430
3.7300,15.9552,17.1445
3.7400,15.9346,17.1460
3.7500,15.9138,17.1474
3.7600,15.8929,17.1489
3.7700,15.8718,17.1503
3.7800,15.8507,17.1517
3.7900,15.8294,17.1532
3.8000,15.8080,17.1546
3.8100,15.7865,17.1559
3.8200,15.7648,17.1573
3.8300,15.7431,17.1587
