x,lagrange,spline
3.440000,16.490279,17.095906
3.450000,16.474109,17.097768
3.460000,16.457762,17.099617
3.470000,16.441238,17.101452
3.480000,16.424539,17.103273
3.490000,16.407668,17.105081
3.500000,16.390625,17.106875
3.510000,16.373412,17.108656
3.520000,16.356032,17.110423
3.530000,16.338485,17.112177
3.540000,16.320774,17.113917
3.550000,16.302900,17.115644
3.560000,16.284864,17.117358
3.570000,16.266669,17.119058
3.580000,16.248316,17.120746
3.590000,16.229807,17.122419
3.600000,16.211143,17.124080
3.610000,16.192326,17.125727
3.620000,16.173358,17.127362
3.630000,16.154241,17.128983
3.640000,16.134976,17.130591
3.650000,16.115565,17.132186
3.660000,16.096009,17.133767
3.670000,16.076310,17.135336
3.680000,16.056471,17.136892
3.690000,16.036492,17.138435
3.700000,16.016375,17.139965
3.710000,15.996122,17.141482
3.720000,15.975735,17.142986
3.730000,15.955215,17.144478
3.740000,15.934564,17.145956
3.750000,15.913783,17.147422
3.760000,15.892875,17.148875
3.770000,15.871841,17.150315
3.780000,15.850683,17.151743
3.790000,15.829402,17.153158
3.800000,15.808000,17.154560
3.810000,15.786479,17.155950
3.820000,15.764840,17.157327
3.830000,15.743085,17.158691
3.840000,15.721216,17.160044
3.850000,15.699234,17.161383
3.860000,15.677142,17.162710
3.870000,15.654940,17.164025
3.880000,15.632631,17.165327
3.890000,15.610216,17.166617
3.900000,15.587696,17.167895
3.910000,15.565075,17.169160
3.920000,15.542352,17.170413
3.930000,15.519530,17.171654
3.940000,15.496611,17.172883
3.950000,15.473596,17.174099
3.960000,15.450487,17.175304
3.970000,15.427285,17.176496
3.980000,15.403993,17.177676
3.990000,15.380612,17.178844
4.000000,15.357143,17.180000
4.010000,15.333588,17.181144
4.020000,15.309950,17.182276
4.030000,15.286229,17.183396
4.040000,15.262427,17.184504
4.050000,15.238547,17.185601
4.060000,15.214589,17.186685
4.070000,15.190555,17.187758
4.080000,15.166448,17.188819
4.090000,15.142268,17.189868
4.100000,15.118018,17.190905
4.110000,15.093699,17.191931
4.120000,15.069312,17.192945
4.130000,15.044860,17.193947
4.140000,15.020344,17.194938
4.150000,14.995766,17.195917
4.160000,14.971127,17.196884
4.170000,14.946429,17.197841
4.180000,14.921674,17.198785
4.190000,14.896864,17.199718
4.200000,14.872000,17.200640
4.210000,14.847084,17.201550
4.220000,14.822117,17.202449
4.230000,14.797101,17.203337
4.240000,14.772039,17.204213
4.250000,14.746931,17.205078
4.260000,14.721779,17.205932
4.270000,14.696585,17.206774
4.280000,14.671351,17.207606
4.290000,14.646078,17.208426
4.300000,14.620768,17.209235
4.310000,14.595422,17.210033
4.320000,14.570043,17.210820
4.330000,14.544632,17.211596
4.340000,14.519191,17.212361
4.350000,14.493721,17.213114
4.360000,14.468224,17.213857
4.370000,14.442702,17.214589
4.380000,14.417156,17.215310
4.390000,14.391588,17.216021
4.400000,14.366000,17.216720
4.410000,14.340393,17.217409
4.420000,14.314770,17.218086
4.430000,14.289131,17.218754
4.440000,14.263479,17.219410
4.450000,14.237815,17.220056
4.460000,14.212140,17.220691
4.470000,14.186458,17.221315
4.480000,14.160768,17.221929
4.490000,14.135073,17.222532
4.500000,14.109375,17.223125
4.510000,14.083675,17.223707
4.520000,14.057975,17.224279
4.530000,14.032276,17.224840
4.540000,14.006581,17.225391
4.550000,13.980891,17.225932
4.560000,13.955207,17.226462
4.570000,13.929531,17.226982
4.580000,13.903866,17.227492
4.590000,13.878212,17.227991
4.600000,13.852571,17.228480
4.610000,13.826946,17.228959
4.620000,13.801337,17.229428
4.630000,13.775746,17.229886
4.640000,13.750176,17.230335
4.650000,13.724627,17.230773
4.660000,13.699102,17.231201
4.670000,13.673602,17.231620
4.680000,13.648128,17.232028
4.690000,13.622683,17.232427
4.700000,13.597268,17.232815
4.710000,13.571885,17.233194
4.720000,13.546535,17.233562
4.730000,13.521220,17.233921
4.740000,13.495942,17.234270
4.750000,13.470703,17.234609
4.760000,13.445504,17.234939
4.770000,13.420347,17.235259
4.780000,13.395233,17.235569
4.790000,13.370164,17.235869
4.800000,13.345143,17.236160
4.810000,13.320170,17.236441
4.820000,13.295247,17.236713
4.830000,13.270376,17.236975
4.840000,13.245559,17.237228
4.850000,13.220797,17.237471
4.860000,13.196092,17.237704
4.870000,13.171445,17.237929
4.880000,13.146859,17.238143
4.890000,13.122335,17.238349
4.900000,13.097875,17.238545
4.910000,13.073480,17.238732
4.920000,13.049152,17.238909
4.930000,13.024893,17.239078
4.940000,13.000704,17.239237
4.950000,12.976587,17.239387
4.960000,12.952544,17.239528
4.970000,12.928576,17.239659
4.980000,12.904686,17.239782
4.990000,12.880874,17.239895
5.000000,12.857143,17.240000
5.010000,12.833494,17.240096
5.020000,12.809928,17.240182
5.030000,12.786449,17.240260
5.040000,12.763056,17.240328
5.050000,12.739752,17.240388
5.060000,12.716539,17.240439
5.070000,12.693418,17.240481
5.080000,12.670391,17.240515
5.090000,12.647459,17.240539
5.100000,12.624625,17.240555
5.110000,12.601890,17.240562
5.120000,12.579255,17.240561
5.130000,12.556722,17.240550
5.140000,12.534294,17.240532
5.150000,12.511971,17.240504
5.160000,12.489755,17.240468
5.170000,12.467649,17.240424
5.180000,12.445653,17.240371
5.190000,12.423769,17.240310
5.200000,12.402000,17.240240
5.210000,12.380346,17.240162
5.220000,12.358810,17.240075
5.230000,12.337393,17.239980
5.240000,12.316096,17.239877
5.250000,12.294922,17.239766
5.260000,12.273872,17.239646
5.270000,12.252948,17.239518
5.280000,12.232151,17.239382
5.290000,12.211483,17.239237
5.300000,12.190946,17.239085
5.310000,12.170542,17.238924
5.320000,12.150272,17.238756
5.330000,12.130138,17.238579
5.340000,12.110141,17.238395
5.350000,12.090283,17.238202
5.360000,12.070567,17.238001
5.370000,12.050993,17.237793
5.380000,12.031563,17.237576
5.390000,12.012279,17.237352
