x,lagrange,spline
4.2900,19.0511,17.2084
4.3000,19.0614,17.2092
4.3100,19.0717,17.2100
4.3200,19.0818,17.2108
4.3300,19.0919,17.2116
4.3400,19.1019,17.2124
4.3500,19.1118,17.2131
4.3600,19.1216,17.2139
4.3700,19.1313,17.2146
4.3800,19.1410,17.2153
4.3900,19.1505,17.2160
4.4000,19.1600,17.2167
4.4100,19.1694,17.2174
4.4200,19.1787,17.2181
4.4300,19.1879,17.2188
4.4400,19.1970,17.2194
4.4500,19.2061,17.2201
4.4600,19.2150,17.2207
4.4700,19.2239,17.2213
4.4800,19.2327,17.2219
4.4900,19.2414,17.2225
4.5000,19.2500,17.2231
4.5100,19.2585,17.2237
4.5200,19.2670,17.2243
4.5300,19.2753,17.2248
4.5400,19.2836,17.2254
4.5500,19.2918,17.2259
4.5600,19.2999,17.2265
4.5700,19.3079,17.2270
4.5800,19.3158,17.2275
4.5900,19.3237,17.2280
4.6000,19.3314,17.2285
4.6100,19.3391,17.2290
4.6200,19.3467,17.2294
4.6300,19.3542,17.2299
4.6400,19.3616,17.2303
4.6500,19.3689,17.2308
4.6600,19.3762,17.2312
4.6700,19.3833,17.2316
4.6800,19.3904,17.2320
4.6900,19.3974,17.2324
4.7000,19.4043,17.2328
4.7100,19.4111,17.2332
4.7200,19.4178,17.2336
4.7300,19.4245,17.2339
4.7400,19.4310,17.2343
4.7500,19.4375,17.2346
4.7600,19.4439,17.2349
4.7700,19.4502,17.2353
4.7800,19.4564,17.2356
4.7900,19.4625,17.2359
4.8000,19.4686,17.2362
4.8100,19.4745,17.2364
4.8200,19.4804,17.2367
4.8300,19.4862,17.2370
4.8400,19.4919,17.2372
4.8500,19.4975,17.2375
4.8600,19.5030,17.2377
4.8700,19.5085,17.2379
4.8800,19.5138,17.2381
4.8900,19.5191,17.2383
4.9000,19.5243,17.2385
4.9100,19.5294,17.2387
4.9200,19.5344,17.2389
4.9300,19.5393,17.2391
4.9400,19.5442,17.2392
4.9500,19.5489,17.2394
4.9600,19.5536,17.2395
4.9700,19.5582,17.2397
4.9800,19.5627,17.2398
4.9900,19.5671,17.2399
5.0000,19.5714,17.2400
5.0100,19.5757,17.2401
5.0200,19.5798,17.2402
5.0300,19.5839,17.2403
5.0400,19.5879,17.2403
5.0500,19.5918,17.2404
5.0600,19.5956,17.2404
5.0700,19.5993,17.2405
5.0800,19.6030,17.2405
5.0900,19.6065,17.2405
5.1000,19.6100,17.2406
5.1100,19.6134,17.2406
5.1200,19.6167,17.2406
5.1300,19.6199,17.2406
5.1400,19.6230,17.2405
5.1500,19.6261,17.2405
5.1600,19.6290,17.2405
5.1700,19.6319,17.2404
5.1800,19.6347,17.2404
5.1900,19.6374,17.2403
5.2000,19.6400,17.2402
5.2100,19.6425,17.2402
5.2200,19.6450,17.2401
5.2300,19.6473,17.2400
5.2400,19.6496,17.2399
5.2500,19.6518,17.2398
5.2600,19.6539,17.2396
5.2700,19.6559,17.2395
5.2800,19.6578,17.2394
5.2900,19.6597,17.2392
5.3000,19.6614,17.2391
5.3100,19.6631,17.2389
5.3200,19.6647,17.2388
5.3300,19.6662,17.2386
5.3400,19.6676,17.2384
5.3500,19.6689,17.2382
5.3600,19.6702,17.2380
5.3700,19.6713,17.2378
5.3800,19.6724,17.2376
5.3900,19.6734,17.2374
5.4000,19.6743,17.2371
5.4100,19.6751,17.2369
5.4200,19.6758,17.2366
5.4300,19.6765,17.2364
5.4400,19.6770,17.2361
5.4500,19.6775,17.2358
5.4600,19.6779,17.2356
5.4700,19.6782,17.2353
5.4800,19.6784,17.2350
5.4900,19.6785,17.2347
5.5000,19.6786,17.2344
5.5100,19.6785,17.2341
5.5200,19.6784,17.2337
5.5300,19.6782,17.2334
5.5400,19.6779,17.2331
5.5500,19.6775,17.2327
5.5600,19.6770,17.2324
5.5700,19.6765,17.2320
5.5800,19.6758,17.2316
5.5900,19.6751,17.2313
5.6000,19.6743,17.2309
5.6100,19.6734,17.2305
5.6200,19.6724,17.2301
5.6300,19.6713,17.2297
5.6400,19.6702,17.2293
5.6500,19.6689,17.2289
5.6600,19.6676,17.2284
5.6700,19.6662,17.2280
5.6800,19.6647,17.2276
5.6900,19.6631,17.2271
5.7000,19.6614,17.2267
5.7100,19.6597,17.2262
5.7200,19.6578,17.2257
5.7300,19.6559,17.2253
5.7400,19.6539,17.2248
5.7500,19.6518,17.2243
5.7600,19.6496,17.2238
5.7700,19.6473,17.2233
5.7800,19.6450,17.2228
5.7900,19.6425,17.2223
5.8000,19.6400,17.2218
5.8100,19.6374,17.2212
5.8200,19.6347,17.2207
5.8300,19.6319,17.2202
5.8400,19.6290,17.2196
5.8500,19.6261,17.2191
5.8600,19.6230,17.2185
5.8700,19.6199,17.2179
5.8800,19.6167,17.2174
5.8900,19.6134,17.2168
5.9000,19.6100,17.2162
5.9100,19.6065,17.2156
5.9200,19.6030,17.2150
5.9300,19.5993,17.2144
5.9400,19.5956,17.2138
5.9500,19.5918,17.2132
5.9600,19.5879,17.2126
5.9700,19.5839,17.2119
5.9800,19.5798,17.2113
5.9900,19.5757,17.2106
6.0000,19.5714,17.2100
6.0100,19.5671,17.2093
6.0200,19.5627,17.2087
6.0300,19.5582,17.2080
6.0400,19.5536,17.2074
6.0500,19.5489,17.2067
6.0600,19.5442,17.2060
6.0700,19.5393,17.2053
6.0800,19.5344,17.2046
6.0900,19.5294,17.2039
6.1000,19.5243,17.2032
6.1100,19.5191,17.2025
6.1200,19.5138,17.2018
6.1300,19.5085,17.2011
6.1400,19.5030,17.2003
6.1500,19.4975,17.1996
6.1600,19.4919,17.1989
6.1700,19.4862,17.1981
6.1800,19.4804,17.1974
6.1900,19.4745,17.1966
6.2000,19.4686,17.1958
6.2100,19.4625,17.1951
6.2200,19.4564,17.1943
6.2300,19.4502,17.1935
6.2400,19.4439,17.1927
6.2500,19.4375,17.1920
6.2600,19.4310,17.1912
6.2700,19.4245,17.1904
6.2800,19.4178,17.1896
6.2900,19.4111,17.1887
6.3000,19.4043,17.1879
6.3100,19.3974,17.1871
6.3200,19.3904,17.1863
6.3300,19.3833,17.1855
6.3400,19.3762,17.1846
6.3500,19.3689,17.1838
6.3600,19.3616,17.1829
6.3700,19.3542,17.1821
6.3800,19.3467,17.1812
6.3900,19.3391,17.1804
6.4000,19.3314,17.1795
6.4100,19.3237,17.1787
6.4200,19.3158,17.1778
6.4300,19.3079,17.1769
6.4400,19.2999,17.1760
6.4500,19.2918,17.1751
6.4600,19.2836,17.1742
6.4700,19.2753,17.1733
6.4800,19.2670,17.1724
6.4900,19.2585,17.1715
6.5000,19.2500,17.1706
6.5100,19.2414,17.1697
6.5200,19.2327,17.1688
6.5300,19.2239,17.1679
6.5400,19.2150,17.1669
6.5500,19.2061,17.1660
6.5600,19.1970,17.1651
6.5700,19.1879,17.1641
6.5800,19.1787,17.1632
6.5900,19.1694,17.1622
6.6000,19.1600,17.1613
6.6100,19.1505,17.1603
6.6200,19.1410,17.1594
6.6300,19.1313,17.1584
6.6400,19.1216,17.1574
6.6500,19.1118,17.1564
6.6600,19.1019,17.1555
6.6700,19.0919,17.1545
6.6800,19.0818,17.1535
6.6900,19.0717,17.1525
6.7000,19.0614,17.1515
6.7100,19.0511,17.1505
6.7200,19.0407,17.1495
6.7300,19.0302,17.1485
6.7400,19.0196,17.1475
